Month,AVG (กษ),AVG MAX (กษ),MAX (กษ),AVG MIN (กษ),MIN (กษ)
2020-01,1.6,5.9,11.9,-1.7,-6.5
2020-02,2.5,7.2,15.6,-1.3,-11.8
2020-03,7.7,13.3,20.6,2.6,-2.8
2020-04,11.1,16.6,23.8,6.3,1.9
2020-05,18,23.3,30,13.7,9.2
2020-06,23.9,29,35.4,19.9,14.8
2020-07,24.1,28,32.9,21.1,17.2
2020-08,26.5,29.3,34.5,24.4,21.5
2020-09,21.4,25.6,29.5,18,13.6
2020-10,14.3,19.5,23.6,9.6,3.2
2020-11,8,12.6,20,4,-3.6
2020-12,-0.3,3.9,11.4,-4.2,-12.9
2021-01,-2.4,2.2,13.9,-6.8,-18.6
2021-02,2.7,7.9,17.4,-2.2,-10.6
2021-03,9,14.8,22.9,4.3,-1.2
2021-04,14.2,19.5,28.2,9.5,3.1
2021-05,17.1,21.9,30.8,12.8,7.3
2021-06,22.8,27.6,31.6,18.9,13.3
2021-07,28.1,32.2,36.5,24.6,19.6
2021-08,25.9,29.7,33.7,22.8,18.1
2021-09,22.6,26.9,30.3,18.8,16
2021-10,15.6,20.5,28.8,11.6,1.3
2021-11,8.2,13.1,21.3,4,-3.7
2021-12,0.6,5.1,13.3,-3.5,-15.5
2022-01,-2.2,2.6,8.4,-6.2,-11.3
2022-02,-1.1,3.8,11.5,-5.3,-10.7
2022-03,7.7,12.7,19.5,3.2,-3
2022-04,14.8,20.6,28.7,10,3.5
2022-05,19.1,25,30.7,13.9,7.9
2022-06,23.3,27.5,32.7,19.8,14.9
2022-07,27.3,31,36.1,24.2,20.8
2022-08,25.7,28.9,32.9,23.1,16.1
2022-09,22.4,27.2,32.5,18.2,12.3
2022-10,14.6,19.7,27.6,10.3,4.4
2022-11,10,15.4,22.1,5.6,-8.1
2022-12,-2.8,1.7,10.2,-6.6,-13.7
2023-01,-1.5,3.2,12.5,-5.7,-17.3
2023-02,2.3,7.3,12.4,-1.9,-5.3
2023-03,9.8,16.2,25.1,4.2,-1.9
2023-04,13.8,19,28.4,8.8,3.1
2023-05,19.5,25,31.2,14.6,7.9
2023-06,23.4,27.9,34,19.7,16.6
2023-07,26.7,30.2,34.9,23.9,21.6
2023-08,27.2,30.8,35.8,24.3,20.8
2023-09,23.7,27.6,32.8,20.2,15.2
2023-10,15.8,21,24.6,11.5,5.4
2023-11,6.8,11.5,25.9,2.9,-7.3
2023-12,1.1,5.2,16.8,-2.5,-14.7
